序号,元件编码,规格,描述,位号,封装,单板用量,备注
1,YD01-583,SS54,,D7,SMA_L4.3-W2.6-LS5.0-FD,1,
2,YD01-038,100nF,,"C3,C25,C1,C2,C213,C214",0805,6,
3,YD01-1011,红色LED,,"LED1,LED2,LED3,LED4，LED5",0603,5,
4,YD01-624,5.1K,,R8,0805_R,1,
5,,470Ω,,"R6,R7",0805_R,2,
6,,4.7kΩ,,"R1,R2,R3,R4",0805_R,4,
7,YD01-034,SS34,,D3,SMA_L4.3-W2.6-LS5.2-RD,1,
8,YD01-084,0,,"R22,R23,R34",0805_R,3,
9,YD01-096,10uF,,"C4,C21,C24,C26,C5",0805,5,
10,YD01-042,1k,,"R24,R25,R5",0805,3,
11,,0,,R30,R1206,1,
12,YD01-086,100KΩ(1003),,"R26,R32",0805_R,2,
13,,TS-1088-AR02016,,"SW1,SW3",SW-SMD_L4.0-W2.9-LS5.0,2,
14,,1N5819HW,,D2,sod-123_l2.7-w1.6-ls3.7-rd-1,1,
15,YD01-048,AMS1117-3.3,,VR1,SOT-223,1,
16,YD01-052,AO3400,,Q2,sot-23-3_l2.9-w1.3-p1.90-ls2.4-br,1,
17,,47,,"R35,R36",0805_R,2,
18,YD01-246,100uF 35V,,C23,CAP-TH_BD6.3-P2.50-D1.0-FD,1,
19,BC01-1018,NEWDTU（中移DTU）,,JP2,DTU_GPS,1,
20,YD01-031,33uH,,L6,IND-SMD_L13.5-W12.6_XR_XR1265,1,
21,,NC,,"R33,R37",0805_R,2,
22,YD01-005,220uF,,C212,CAP-SMD_BD6.3-L6.6-W6.6-FD,1,
23,YD01-858,KH-TYPE-C-16P,,USB2,USB-C-SMD_KH-TYPE-C-16P,1,
24,,X6511FV-08-C85D32,,H1,HDR-TH_8P-P2.54-V-F,1,
25,,ZX-XH2.54-2PZZ,,CN2,CONN-TH_2P-P2.50_HX25003-2A,1,
26,,ZX-XH2.54-5PZZ,,U5,CONN-TH_5P-P2.50_ZX-XH2.54-5PZZ,1,
27,YD01-751,LM2596S-5.0,,U19,TO-263-5_L10.2-W8.9-P1.70-BR,1,
28,YD01-861,HX1.27-2PTPPT,,U6,SW-SMD_2P-L5.4-W4.1-P1.27-LS8.4,1,
29,YD01-859,10kΩ,,RN1,RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,1,
30,,680uF,,U20,CAP-SMD_BD10.0-L10.3-W10.3-LS11.3-FD,1,
31,,X5511FV-08-C70D30-1000,,H2,HDR-TH_8P-P2.54-V-F,1,
32,YD01-128,CH340C,,U2,sop-16_l10.0-w3.9-p1.27-ls6.0-bl,1,
33,YD01-037,LMBT3904DW1T1G,,Q1,SOT-363_L2.0-W1.3-P0.65-LS2.1-BR,1,
