发布时间：2025-09-11；编辑人：郭继泽,,,,,,,
序号,元器件编码,规格,描述,位号,封装（参考）,单板数量,备注说明
1,YD01-722,10pF ±5% 50V,贴片电容,"C64,C67,C69",0603,3,
2,YD01-775,20pF,贴片电容,"C56,C57",C0603,2,
3,-,220nF ±10% 25V,贴片电容,C34,0603,1,
4,YD01-038,100nF ±10% 50V,贴片电容,"C72,C73,C74,C75,C76，C14,C16,C7,C10,C20,C22'C17,C19,C59",0805,14,
5,YD01-366,10uF ±10% 10V,贴片电容,"C48,C50,C53",0603,3,
6,-,100nF ±10% 50V,贴片电容,"C40,C42,C44,C46,C51,C52,C54,C55,C71",0603,9,
7,YD01-453,10nF ±10% 50V,贴片电容,"C35,C36,C39,C41,C43,C45,C49",0603,7,
8,YD01-367,1uF ±10% 50V,贴片电容,"C70,C37,C38",0603,3,
9,YD01793,1nF ±10% 50V,贴片电容,C47,0603,1,
10,YD01-137,1uF ±10% 50V,贴片电容,"C65,C66,C68,C1,C2,C4,C5,C9,C12",0805,9,
11,YD01-096,10uF ±10% 25V,贴片电容,"C21,C23,C18,C58,C60,C61,C62,C63,C77,C78,C13,C15",0805,12,
12,YD01-005,220uF,贴片铝电解电容,"C3,C6",CAP-TH_BD13.0-P5.00-D1.2-FD,2,
13,YD01-136,330uF,铝电解电容,"C8,C11",CAP-TH_BD8.0-P3.50-D0.6-FD,2,
14,YD01-1714,1.5kΩ ±1% 125mW 厚膜电阻,贴片电阻,R5,0805,1,
15,YD01-289,1kΩ ±1% 100mW 厚膜电阻,贴片电阻,"R19,R29,R46,R47",0603,4,
16,YD01-1022,13kΩ ±1% 125mW 厚膜电阻,贴片电阻,R3,0805,1,
17,YD01-084,0Ω ±1% 125mW 厚膜电阻,贴片电阻,"R49,R13,R23,R24,R58,R59",0805,6,
18,YD01-1019,470Ω ±1% 125mW 厚膜电阻,贴片电阻,"R52,R53",0805,2,
19,YD01-154,10kΩ ±1% 125mW 厚膜电阻,贴片电阻,"R43,R44,R45,R33,R34,R35,R36,R4",0805,8,
20,YD01-042,1kΩ ±1% 125mW 厚膜电阻,贴片电阻,"R50,R51",0805,2,
21,-,0Ω ±1% 250mW 厚膜电阻,贴片电阻,R1,1206,1,
22,YD01-070,100Ω ±1% 125mW 厚膜电阻,贴片电阻,R41,0805,1,
23,,680Ω ±1% 100mW 厚膜电阻,贴片电阻,R32,0603,1,
24,,3.3kΩ ±1% 125mW 厚膜电阻,贴片电阻,R6,0805,1,
25,,4.7kΩ ±1% 100mW 厚膜电阻,贴片电阻,"R14,R15,R16,R20,R25,R26,R30",0603,7,
26,,5.1kΩ ±1% 100mW 厚膜电阻,贴片电阻,"R55,R56",0603,2,
27,YD01-086,100kΩ ±1% 125mW 厚膜电阻,贴片电阻,R37,0805,1,
28,,33R_R0603,贴片电阻,R17,R0603,1,
29,,AMS1117-3.3,芯片,VR1,SOT-223,1,
30,,MCP4725A0T-E/CH,芯片,U9,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,
31,,NS2009,芯片,U6,MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL,1,
32,,AT24C04CDRG,芯片,U8,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL-1,1,
33,,SP232,芯片,U16,SOP-16_150mil,1,
34,,IC_GM8775C,芯片,U17,GM8775C_QFN48_1,1,
35,,XL4015E1,芯片,"U1,U2",TO-263-5_L10.2-W8.9-P1.70-TL,2,
36,,LTK8002D,芯片,U14,SOP-8_L5.0-W4.0-P1.27-LS6.0-BL,1,
37,,AB5607U,芯片,U13,SOP-16_L10.3-W4.6-P1.27-LS6.9-BL,1,
38,,GL850G-HHY22,芯片,U11,SSOP-28_L10.2-W5.3-P0.65-LS7.8-BL,1,
39,,XC6206P182MR-HXY,芯片,U3,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,
40,,CH340E,芯片,U15,MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL,1,
41,,WAFER-PH2.0-6PZZ,接插件,U22,CONN-TH_6P-P2.00_PH2.0-6P,1,
42,,BX-XH2.54-6PZZ,接插件,"U18,U19",CONN-TH_6P-P2.50_BX-XH2.54-6PZZ,2,
43,,HC-PZ200-8.7L-2x15PZ,接插件,U20,HDR-TH_30P-P2.00-V-M-R2-C15-S2.00,1,
44,,ZX-XH2.54-5PZZ,接插件,U21,CONN-TH_5P-P2.50_ZX-XH2.54-5PZZ,1,
45,,ZX-SH1.0-5PWT,接插件,U12,CONN-SMD_5P-P1.00_MEGASTAR_ZX-SH1.0-5PWT,1,
46,,ZX-XH2.54-4PZZ,接插件,"CN2,J6,J7,J8,J9,J10,J11",CONN-TH_4P-P2.50_4PIN,7,
47,,ZX-XH2.54-2PZZ,接插件,"CN1,CN4",CONN-TH_2P-P2.50_HX25003-2A,2,
48,,SIP2X254B,接插件,P7,SIP2X254A,1,
49,,SIP3X254A,接插件,"P2,P3,P4,P5",SIP3X254A,4,
50,,KH-TYPE-C-16P,接插件,"USB3,USB4",USB-C-SMD_KH-TYPE-C-16P,2,
51,,间距:0.5mm 30P 抽屉式 下接,接插件,FPC1,"SMD,P=0.5mm,卧贴",1,
52,,SS54,二极管,D1,SMA(DO-214AC),1,
53,,B540C-13-F,二极管,"D2,D3",SMC_L7.1-W6.2-LS8.1-RD,2,
