发布时间：2025-07-28；编辑人：郭继泽,,,,,,,
序号,元器件编码,规格,描述,,封装（参考）,单板数量,备注说明
1,YD01-1805,12pF 50V,贴片电容,"C75,C76",C0805,2,
2,YD01-259,20pF 50V,贴片电容,"C77,C78",C0805,2,
3,YD01-038,100nF,贴片电容,"C2,C4，C61,C125,C131,C629,C631，C79,C81,C82,C83,C84,C85,C100,C107,C108,C633，C117,C118，C126,C132，C203,C204,C205,C206,C209",C0805,35,
4,YD01-037,22pF,贴片电容,"C127,C133",C0805,2,
5,YD01-137,1uF 50V,贴片电容,C80,C0805,,
6,YD01-096,10uF 25V,贴片电容,"C1,C3,C23,C630,C632,C639,C640，C98,C99,C105,C106，C130,C136，C637,C638",C0805,15,
7,YD01-362,22uF 25V,贴片电容,"C128,C129,C134,C135",C0805,4,
8,YD01-198,10p 50V,贴片电容,"C212,C213,C214,C215,C222,C634,C635,C636",C0805,8,
9,YD01-083,SMBJ6.8CA,二极管（TVS）,"D13,D14,D15,D38",SMB_L4.6-W3.6-LS5.3-BI,4,
10,YD01-034,SS34 SMA,二极管,D25,SMA_L4.3-W2.5-LS5.0-RD,1,
11,YD01-526,1N4148WS SOD-323,二极管,"D27,D30,D31",SOD-323_L1.8-W1.3-LS2.5-RD,3,
12,YD01-045,1N4148WS SOD-123,二极管,"D28,D29",SOD-123F_L2.7-W1.6-LS3.8-RD,2,
13,新申请,1N4007W,二极管,"D32,D33,D34,D35,D36,D37",SOD-123FL_L2.7-W1.8-LS3.8-RD,,
14,YD01-756,49US-8M ,晶振,G100,HC-49S,1,
15,YD01-013,2.54mm 4P 小白,接插件,J100,CONN-XH2.5-4P,1,
16,YD01-1146,10uH 4*4 FHD4020S-100MT,贴片电感,"L7,L8",IND-SMD_L4.0-W4.0,2,
17,YD01-094,LED 0805 红,LED,LED5,LED0805-R-RD,1,
18,YD01-511,WJ500V-5.08-2P,接插件,P1,CONN-TH_2P-P3.81_L7.4-W7.6,1,
19,YD01-388,S8550（Y2）SOT-23,三极管,"Q1,Q2",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,2,
20,YD01-041,S8050-J3Y,三极管,"Q4,Q5,Q6",SOT-23-3_L2.9-W1.3-P0.95-LS2.4-BR-1,3,
21,YD01-042,1kΩ 1%,贴片电阻,"R75,R102,R105,R187,R202,R638,R641，R159,R668,R670，R179,R679，R219,R220",R0805,14,
22,YD01-086,100kΩ 1%,贴片电阻,"R114,R115，R149,R150,R153,R154,R160,R669,R671,R674,R675,R676,R677",R0805,13,
23,YD01-369,470 1%,贴片电阻,"R80,R81,R639,R640，R216，R217,R218",R0805,7,
24,YD01-636,4.7KΩ (4701),贴片电阻,"R100,R101",R0805,2,
25,YD01-624,5.1k 1%,贴片电阻,R636，,R0805,,
26,YD01-255,10Ω 1%,贴片电阻,"R103,R108",R0805,2,
27,YD01-508,120Ω 1%,贴片电阻,R106,R0805,1,
28,YD01-128,100Ω 1%,贴片电阻,"R221,R223,R642,R643",R0805,4,
29,YD01-1705,820 5%,贴片电阻,R623,R0805,1,
30,YD01-154,10K 1%,贴片电阻,"R18,R647,R649,R651,R665,R667，R88,R89,R95,R98,R180,R181,R182,R183，R111,R140,R145,R151，R222,R224,R644,R645",R0805,22,
31,,NC,,,,,
32,YD01-074,3.6K 5%,贴片电阻,"R146,R152",R0805,2,
33,YD01-084,0 5%,贴片电阻,"R188,R189,R203,R204，",R0805,4,
35,YD01-489,390kΩ 5%,贴片电阻,R190,R0805,1,
36,YD01-437,75kΩ 1%,贴片电阻,"R191,R206",R0805,2,
37,YD01-528,240kΩ 1%,贴片电阻,R205,R0805,1,
38,YD01-080,510,贴片电阻,"R17,R646,R648,R650,R664,R666",R0805,6,
39,YD01-574,2.2kΩ,贴片电阻,"R178,R678",,,
40,YD01-030,SRD-05VDC-SL-C,继电器,RLY10,RELAY-TH_SRD-XXVDC-XL-C,1,
41,新申请,JZC-4F 005-1Z1,继电器,"RLY12,RLY13",JZC-4F 005-1Z1,2,
42,YD01-026,SP485REN-L/TR,芯片,U24,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,
43,YD01-750,STM32F103RCT6,芯片,U37,LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL,1,
44,YE01-061,航空插头*12mm航插4p弯针,接插件,"CN400,CN402,CN403,CN404,CN405,CN406",12HC 4P,6,
45,YD01-029,HX711,芯片,"U49,U52",SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,2,
46,YD01-1150,TMI3331,芯片,"U51,U70",ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,2,
47,YY01-1442,COS2177SR,芯片,"U64,U66",SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,2,
48,YD01-028,SP3232,芯片,U201,SOP-16_150mil,1,
49,YD01-755,32.768kHz 12.5pf,晶振,X1,CRYSTAL-TH_BD2.0-L6.0-P1.27,1,
50,YE01-060,航空插头12mm航插5p弯针 公头,接插件,"U400,U401,U402,U403",hangcha W 5p,4,
51,YY01-1445,AMS1117-ADJ,芯片,U605,SOT-223_L6.7-W3.5-P2.30-BR,1,
52,YD01-837,PC817B,芯片,"U3,U607,U608,U609,U613,U614",DIP-4_L6.5-W4.6-P2.54-LS7.6-BL,6,
53,YD01-841,B0505S-1WL,芯片,U606,PWRM-TH_B0505S-1W,1,
54,新申请,SMBJ5.0CA,芯片,U615,SMB_L4.5-W3.6-LS5.2-BI,1,
55,,升降机云眼检测板-20250604,电路板,,,,
