发布时间：2025-03-25 ；编辑人：郭继泽,,,,,,,
序号,元器件编码,规格,描述,板位号,封装（参考）,单板数量,备注说明
1,YD01-013,元器件*接插件2.54mm 4P 直针座 小自,接插件,"4-20MA1,DEBUG,J1,J2",CONN-XH2.5-4P,4,
2,YD01-038,100nF,贴片电容,"C1,C79,C80,C88,C35,C36,C37,C40,C41,C44,C45,C74,C78.C9,C12",0805_C,15,
3,YD01-096,10uF 25V,贴片电容,"C2,C87,C18",0805_C,3,
4,YD01-362,22uF (226) 25V,贴片电容,"C8,C11",0805_C,2,
5,YD01-137,1uF (105)  50V,贴片电容,"C10,C13,C14,C17,C77",0805_C,5,
6,YD01-005,220uF 100V,贴片电容,C15,CAP-TH_BD13.0-P5.00-D1.2-FD,1,
7,YD01-136,330uF 50V,贴片电容,C16,CAP-TH_BD8.0-P3.50-D0.6-FD,1,
8,YD01-403,1uF (105) 500V,贴片电容,C19,cap-th_bd6.3-p2.50-d1.0-fd,1,
9,YD01-138,10nF (103)  50V,贴片电容,"C20,C81,C82,C86",0805_C,4,
10,YD01-361,4.7uF 50V,贴片电容,"C39,C73,C75,C76",0805_C,4,
11,YD01-1100,100pF 50V,贴片电容,"C51,C85",0805_C,2,
12,YD01-368,10nf（1KV）1206,贴片电容,C53,1206_C,1,https://item.szlcsc.com/9719.html?fromZone=s_s__%252210nf%25201206%2522&spm=sc.gb.xh1.zy.n&lcsc_vid=FlVZXlVTR1QNXlRWTldaUFcARlBXV1JTRQJdVQdRFAcxVlNVTlNaU1RUQFJfUjsOAxUeFF5JWBYZEEoVDQ0NFAdIFA4DSA%3D%3D
13,YD01-404,1nf 50V,贴片电容,"C83,C84",,2,
14,YD01-819,B540C-13-F,二极管,D1,SMC_L7.1-W6.2-LS8.1-RD,1,
15,YD01-097,FR107 SMA,二极管,"D2,D5",SOD-123,2,
16,YD01-595,DSK26,二极管,D3,SOD-123,1,
17,YD01-375,1N4007 SMA,二极管,"D4,D6",SMA(DO-214AC)_S1,2,
18,YD01-083,SMBJ6.8CA,二极管TVS,"D9,D10,D11",SMB_L4.6-W3.6-LS5.3-BI,3,
19,YD01-100,SMBJ6.0A,二极管TVS,D12,7227,1,
20,YD01-492,绿色φ5LED,二极管发光LED,D18,LED-TH_BD5.0-P2.54-FD,1,卧焊朝电路板外
21,YD01-284,BZT52B2V4,二极管稳压管,D19,SOD-123_L2.7-W1.6-LS3.7-RD-1,1,
22,YD01-822,BAT54S,二极管,D20,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,
23,YD01-045,1N4148W-E,二极管,D21,SOD-123_L2.8-W1.6-LS3.7-RD,1,
24,YD01-142,60V/50mA,保险丝,F1,1206,1,
25,YD01-564,CH5.08M 4F 弯针座(高弯,接插件,J201,CONN-TH_A5081WR-04P,1,
26,YD01-520,6.8uH 7*7*3,电感,L1,IND-SMD_L7.3-W6.8-06030,1,
27,YD01-1116,47uH 5A 6*6.5,电感,L2,IND-SMD_L13.8-W12.6_YSPI13XX,1,
