发布时间：2024-12-04 ；编辑人：贾长峰,,,,,,,,,
序号,元器件编码,规格,描述,板位号,封装（参考）,单板数量,备注说明,,
1,YD01-137,"1uF,50V",贴片电容,"C1,C2,C5",C0805,3,,,
2,YD01-005,220uF 100V,贴片电容,C3,CAP-TH_BD13.0-P5.00-D1.2-FD,1,,,
3,YD01-136,元器件*直插电解电容 330UF 50V  10*20mm,贴片电容,C4,CAP-TH_BD8.0-P3.50-D0.6-FD,1,,,
4,YD01-005,220uF/100V,贴片电容,C6,CAP  13*20mm,1,,,
5,YD01-006,470uF/16V,贴片电容,C7,CAP 8*12,1,,,
6,YD01-096,10uF 25V,贴片电容,"C10,C12,C14,C16,C17,C18,C25,C27,C29,C31,C32,C33,C40,C42,C44,C45,C55,C58,C60,C9,C63,C67,C69",C0805,23,,,
7,YD01-038,100nF 50V,贴片电容,"C11,C13,C15,C19,C20,C21,C22,C23,C24,C26,C28,C30,C34,C35,C36,C37,C38,C39,C41,C43,C46,C47,C48,C49,C8,C64,C65,C66,C68,C70,C50,C51,C52,C53,C54,C57,C59",C0805,37,,,
8,YD01-361,4.7uF,贴片电容,C56,C0805,1,,,
9,YD01-037,22pF 50V,贴片电容,"C61,C62",C0805,2,,,
10,YD01-819,B540C-13-F,二极管,D1,SMC_L7.1-W6.2-LS8.1-RD,1,,,
11,YD01-583,SS54,二极管,"D2,D3",SMA_L4.4-W2.8-LS5.4-R-RD,2,,,
12,YD01-013,CONN4-XH2.54,接插件,DEBUG,CONN-TH_4P-P2.50_4PIN,1,,,
13,YD01-1116,47uH,功率电感,L1,IND-SMD_L13.8-W12.6_YSPI13XX,1,,,
14,YD01-031,33uH,功率电感,L2,SMD12*12*8,1,,,
15,YD01-511,元器件*接插件 WJ500V-5.08-2P 十字螺钉式接线端子（绿色）,接插件,"P1,P2,P3,P4,P5,P6",CONN-TH_CH5.08-2A,6,,,
16,YD01-232,AO3401A-VB,三极管,Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,,,
17,YD01-240,SS8050,三极管,Q2,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,,,
18,YD01-388,SS8550 Y2,三极管,"Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,8,,,
19,YD01-220,"13k,1%",贴片电阻,R1,R0805,1,,,
20,YD01-1714,"1.5k,1%",贴片电阻,R2,R0805,1,,,
21,YD01-156,0Ω_NC,贴片电阻,"R3,R7,R8,R94",R1206,4,,,
22,YD01-156,"0,1%",贴片电阻,"R4,R5,R76,R93",R1206,4,,,
23,YD01-086,"100k,1%",贴片电阻,"R10,R17,R33,R34,R35,R36,R38,R41,R57,R58,R59,R61,R63,R65,R77,R78,R80,R82,R84,R85,R86,R87,R88,R89,R90",R0805,25,,,
24,YD01-042,"1k,1%",贴片电阻,"R13,R15,R18,R19,R20,R42,R43,R44,R66,R67,R83",R0805,11,,,
25,YD01-154,"10k,1%",贴片电阻,"R21,R22,R23,R45,R46,R47,R68,R69",R0805,8,,,
26,YD01-074,"3.6k,1%",贴片电阻,"R24,R26,R30,R48,R51,R54,R70,R73",R0805,8,,,
27,YD01-369,"470,1%",贴片电阻,"R25,R27,R28,R29,R31,R32,R49,R50,R52,R53,R55,R56,R71,R72,R74,R75",R0805,16,,,
28,YD01-216,"5.1,1%",贴片电阻,"R37,R39,R40,R60,R62,R64,R79,R81",R0805,8,,,
29,YD01-636,"4.7k,1%",贴片电阻,"R91,R92",R0805,2,,,
30,YD01-1113,XL4015E1,DC-DC电源芯片,U1,TO-263-5_L10.2-W8.9-P1.70-TL,1,,,
31,YD01-751,LM2596S-5.0,DC-DC电源芯片,U2,TO-263-5_L10.2-W8.9-P1.70-BR,1,,,
32,YD01-029,HX711,ADC芯片,"U3,U4,U5,U6,U7,U8,U9,U10",SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,8,,,
33,,红灯,LED,U11,LED0805-RD,1,,,
34,,USR-TCP232-T0,联网模块,U12,COMM-TH_USR-TCP232-T0,1,,,
35,YB01-079,E35-2G4T10SX,2.4g模块,U13,E35-2G4T10SX,1,,,
36,YD01-182,FM33LC046N,mcu,U14,LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL,1,,,
37,YD01-186,CONN6-XH2.54,接插件,U15,HDR-TH_6P-P2.50-V-F-2,1,,,
38,YD01-048,AMS1117-3.3,LDO,VR1,SOT-223,1,,,
39,YD01-394,AMS1117-5.0,LDO,VR2,SOT-223,1,,,
40,YD01-756,8MHz,晶振,X1,OSC-TH_L10.0-W4.5-P5.00,1,,,
41,YD01-013,CONN4-XH2.54,接插件,"ZL1,ZL2,ZL3,ZL4,ZL5,ZL6,ZL7,ZL8",HDR-TH_4P-P2.50-V-F-2,8,,,
,,,,,,,,,
