序号,元器件编码,规格,描述,封装（参考）,备注说明,
1,YD01-722,10pF ±5% 50V,贴片电容,0603,,
2,YD01-775,20pF,贴片电容,C0603,,
4,YD01-038,100nF ±10% 50V,贴片电容,0805,,
5,YD01-366,10uF ±10% 10V,贴片电容,0603,,
7,YD01-453,10nF ±10% 50V,贴片电容,0603,,
8,YD01-367,1uF ±10% 50V,贴片电容,0603,,
9,YD01793,1nF ±10% 50V,贴片电容,0603,,
10,YD01-137,1uF ±10% 50V,贴片电容,0805,,
11,YD01-096,10uF ±10% 25V,贴片电容,0805,,
12,YD01-005,220uF,贴片铝电解电容,CAP-TH_BD13.0-P5.00-D1.2-FD,,
13,YD01-136,330uF,铝电解电容,CAP-TH_BD8.0-P3.50-D0.6-FD,,
14,YD01-1714,1.5kΩ ±1% 125mW 厚膜电阻,贴片电阻,0805,,
15,YD01-289,1kΩ ±1% 100mW 厚膜电阻,贴片电阻,0603,,
16,YD01-1022,13kΩ ±1% 125mW 厚膜电阻,贴片电阻,0805,,
17,YD01-084,0Ω ±1% 125mW 厚膜电阻,贴片电阻,0805,,
18,YD01-1019,470Ω ±1% 125mW 厚膜电阻,贴片电阻,0805,,
19,YD01-154,10kΩ ±1% 125mW 厚膜电阻,贴片电阻,0805,,
20,YD01-042,1kΩ ±1% 125mW 厚膜电阻,贴片电阻,0805,,
22,YD01-070,100Ω ±1% 125mW 厚膜电阻,贴片电阻,0805,,
23,,680Ω ±1% 100mW 厚膜电阻,贴片电阻,0603,,
24,,3.3kΩ ±1% 125mW 厚膜电阻,贴片电阻,0805,,
25,,4.7kΩ ±1% 100mW 厚膜电阻,贴片电阻,0603,,
26,,5.1kΩ ±1% 100mW 厚膜电阻,贴片电阻,0603,,
27,YD01-086,100kΩ ±1% 125mW 厚膜电阻,贴片电阻,0805,,
28,,33R_R0603,贴片电阻,R0603,,
29,,AMS1117-3.3,芯片,SOT-223,,
30,,MCP4725A0T-E/CH,芯片,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,,
31,,NS2009,芯片,MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL,,
32,,AT24C04CDRG,芯片,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL-1,,
33,,SP232,芯片,SOP-16_150mil,,
34,,IC_GM8775C,芯片,GM8775C_QFN48_1,,
35,,XL4015E1,芯片,TO-263-5_L10.2-W8.9-P1.70-TL,,
36,,LTK8002D,芯片,SOP-8_L5.0-W4.0-P1.27-LS6.0-BL,,
37,,AB5607U,芯片,SOP-16_L10.3-W4.6-P1.27-LS6.9-BL,,
38,,GL850G-HHY22,芯片,SSOP-28_L10.2-W5.3-P0.65-LS7.8-BL,,
39,,XC6206P182MR-HXY,芯片,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,,
40,,CH340E,芯片,MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL,,
41,,WAFER-PH2.0-6PZZ,接插件,CONN-TH_6P-P2.00_PH2.0-6P,,
42,,BX-XH2.54-6PZZ,接插件,CONN-TH_6P-P2.50_BX-XH2.54-6PZZ,,
43,,HC-PZ200-8.7L-2x15PZ,接插件,HDR-TH_30P-P2.00-V-M-R2-C15-S2.00,,
44,,ZX-XH2.54-5PZZ,接插件,CONN-TH_5P-P2.50_ZX-XH2.54-5PZZ,,
45,,ZX-SH1.0-5PWT,接插件,CONN-SMD_5P-P1.00_MEGASTAR_ZX-SH1.0-5PWT,,
46,,ZX-XH2.54-4PZZ,接插件,CONN-TH_4P-P2.50_4PIN,,
47,,ZX-XH2.54-2PZZ,接插件,CONN-TH_2P-P2.50_HX25003-2A,,
48,,SIP2X254B,接插件,SIP2X254A,,
49,,SIP3X254A,接插件,SIP3X254A,,
50,,KH-TYPE-C-16P,接插件,USB-C-SMD_KH-TYPE-C-16P,,
51,,间距:0.5mm 30P 抽屉式 下接,接插件,SMD,P=0.5mm,卧贴
52,,SS54,二极管,SMA(DO-214AC),,
53,,B540C-13-F,二极管,SMC_L7.1-W6.2-LS8.1-RD,,
54,,0603 红灯 高亮,发光二极管,0603,,
55,,0805 翠绿 高亮,发光二极管,0805,,
56,,单路 0603磁珠 阻抗600Ω@100MHz,磁珠,0603,,
57,,47uH,电感,IND-SMD_L13.8-W12.6_H6.5,,
58,,YSO110TR 26MHZ 4P 3225 1.8V-3.3V ±10PPM -40~85℃ (±20PPM) CMOS,晶振,SMD3225-4P,,
59,,YSX321SL 12MHZ 4P 3225 20PF ±10PPM -40~85℃ (±20PPM),晶振,SMD3225-4P,,
60,,32MHz,晶振,CRYSTAL-SMD_4P-L3.2-W2.5-BL,,
61,,KEY26_NO,开关,KEY26,,
62,,NC,,R0805,,
,,NC_R0603,,R0603,,
,,NULL,,R1206,,
,,NULL,,R0805,,
63,YD01-013,元器件*接插件2.54mm 4P 直针座 小自,接插件,CONN-XH2.5-4P,,
64,YD01-038,100nF,贴片电容,0805_C,,
65,YD01-096,10uF 25V,贴片电容,0805_C,,
66,YD01-362,22uF (226) 25V,贴片电容,0805_C,,
67,YD01-137,1uF (105)? 50V,贴片电容,0805_C,,
68,YD01-005,220uF 100V,贴片电容,CAP-TH_BD13.0-P5.00-D1.2-FD,,
69,YD01-136,330uF 50V,贴片电容,CAP-TH_BD8.0-P3.50-D0.6-FD,,
70,YD01-403,1uF (105) 500V,贴片电容,cap-th_bd6.3-p2.50-d1.0-fd,,
71,YD01-138,10nF (103)? 50V,贴片电容,0805_C,,
72,YD01-361,4.7uF 50V,贴片电容,0805_C,,
73,YD01-1100,100pF 50V,贴片电容,0805_C,,
74,YD01-368,10nf（1KV）1206,贴片电容,1206_C,https://item.szlcsc.com/9719.html?fromZone=s_s__%252210nf%25201206%2522&spm=sc.gb.xh1.zy.n&lcsc_vid=FlVZXlVTR1QNXlRWTldaUFcARlBXV1JTRQJdVQdRFAcxVlNVTlNaU1RUQFJfUjsOAxUeFF5JWBYZEEoVDQ0NFAdIFA4DSA%3D%3D,
75,YD01-404,1nf 50V,贴片电容,,,
76,YD01-819,B540C-13-F,二极管,SMC_L7.1-W6.2-LS8.1-RD,,
77,YD01-097,FR107 SMA,二极管,SOD-123,,
78,YD01-595,DSK26,二极管,SOD-123,,
79,YD01-375,1N4007 SMA,二极管,SMA(DO-214AC)_S1,,
80,YD01-083,SMBJ6.8CA,二极管TVS,SMB_L4.6-W3.6-LS5.3-BI,,
81,YD01-100,SMBJ6.0A,二极管TVS,7227,,
82,YD01-492,绿色φ5LED,二极管发光LED,LED-TH_BD5.0-P2.54-FD,卧焊朝电路板外,
83,YD01-284,BZT52B2V4,二极管稳压管,SOD-123_L2.7-W1.6-LS3.7-RD-1,,
84,YD01-822,BAT54S,二极管,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,,
85,YD01-045,1N4148W-E,二极管,SOD-123_L2.8-W1.6-LS3.7-RD,,
86,YD01-142,60V/50mA,保险丝,1206,,
87,YD01-564,CH5.08M 4F 弯针座(高弯,接插件,CONN-TH_A5081WR-04P,,
88,YD01-520,6.8uH 7*7*3,电感,IND-SMD_L7.3-W6.8-06030,,
89,YD01-1116,47uH 5A 6*6.5,电感,IND-SMD_L13.8-W12.6_YSPI13XX,,
90,YD01-382,磁珠 120R ,磁珠,L0805,,
91,YD01-1146,10uH 4*4 FHD4020S-100MT,电感,IND-SMD_L4.0-W4.0,,
92,YD01-718,CJ2312-VB,mos管,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,,
93,YD01-377,2SA1627AL-K-T6C-K,三极管,TO-126_L8.3-W3.5-P2.29-T,,
94,YD01-296,PMBTA45,三极管,sot-23(sot-23-3),,
95,YD01-636,4.7K 1%,贴片电阻,,,
96,YD01-086,100KΩ (1003) 1%,贴片电阻,0805_R,,
97,YD01-154,10KΩ (1002) 1%,贴片电阻,0805_R,,
98,YD01-400,40.2KΩ (4022) ±1%,贴片电阻,0805_R,,
99,YD01-401,7.68KΩ(7681) ±1%,贴片电阻,0805_R,,
100,YD01-220,13kΩ 5%,贴片电阻,R0805,,
101,YD01-1714,1.5kΩ 1%,贴片电阻,R0805,,
102,YD01-080,510R 1%,贴片电阻,R 0805_L,,
103,YD01-042,1KΩ (1001) 1%,贴片电阻,R0805_NEW,,
104,YD01-286,10KΩ (1002) 5%,贴片电阻,1206_R,,
